extension,screenshot_name,alt_text
cookie-manager,main-interface,"Cookie Manager main interface showing list of cookies with search and filter options"
cookie-manager,jwt-decoder,"JWT token decoder showing header and payload with decoded claims"
cookie-manager,bulk-edit,"Bulk cookie editing interface with select all and batch operations"
cookie-manager,export-dialog,"Cookie export dialog with JSON, CSV, and text format options"
cookie-manager,search-results,"Cookie search results highlighting matched cookies with domain filtering"
tab-suspender,dashboard,"Tab Suspender dashboard showing memory saved and suspended tabs count"
tab-suspender,suspended-tab,"Suspended tab preview with restore button and suspension time"
tab-suspender,settings,"Tab Suspender settings with auto-suspend rules and whitelist configuration"
tab-suspender,memory-graph,"Memory usage graph before and after tab suspension"
tab-suspender,whitelist,"Whitelist configuration for important tabs that never suspend"
quick-notes,main-editor,"Quick Notes editor with formatting toolbar and auto-save indicator"
quick-notes,note-list,"Note list sidebar with search, folders, and recent notes"
quick-notes,search-results,"Quick Notes search results highlighting matched text in notes"
quick-notes,share-dialog,"Note sharing dialog with export to PDF and copy link options"
quick-notes,keyboard-shortcuts,"Keyboard shortcuts help overlay for Quick Notes navigation"
json-formatter,formatted-view,"JSON formatter showing beautifully formatted code with syntax highlighting"
json-formatter,error-highlighting,"JSON error detection with line numbers and detailed error messages"
json-formatter,minify-tool,"JSON minification tool showing before and after file size comparison"
json-formatter,color-themes,"JSON formatter with multiple color themes for code syntax"
json-formatter,validate-json,"JSON validation tool with schema checking and error reporting"
password-generator,main-interface,"Password generator with strength meter and customizable options"
password-generator,advanced-settings,"Advanced password settings including special characters and length"
password-generator,history,"Generated password history with copy and delete options"
password-generator,strength-meter,"Password strength meter showing real-time security score"
password-generator,custom-rules,"Custom password rules for corporate or specific requirements"
qr-code-generator,create-qr,"QR code generator interface with text input and preview"
qr-code-generator,customization,"QR code customization panel with colors and logo upload"
qr-code-generator,download-options,"QR code download options for PNG, SVG, and PDF formats"
qr-code-generator,batch-create,"Batch QR code generation from spreadsheet or CSV data"
qr-code-generator,scan-result,"QR code scan result showing decoded content with validation"
color-picker,eyedropper,"Color picker eyedropper tool selecting color from webpage"
color-picker,palette-manager,"Color palette manager with saved colors and color history"
color-picker,format-converter,"Color format converter showing hex, RGB, HSL values simultaneously"
color-picker,gradient-tool,"Color gradient generator with linear and radial options"
color-picker,contrast-checker,"Color contrast checker for accessibility compliance testing"
word-counter,text-analysis,"Word counter showing character, word, and reading time statistics"
word-counter,selection-mode,"Word counter in selection mode analyzing highlighted text"
word-counter,goals-tracker,"Writing goals tracker with daily word count targets"
word-counter,export-report,"Word count export report with statistics and trends"
word-counter,multiple-documents,"Multiple document word count comparison and analysis"
unit-converter,main-interface,"Unit converter with length, weight, temperature conversion options"
unit-converter,currency-exchange,"Currency converter with real-time exchange rates"
unit-converter,conversion-history,"Unit conversion history with frequently used conversions"
unit-converter,favorites,"Favorite unit conversions for quick access and reuse"
unit-converter,offline-mode,"Unit converter working offline with cached exchange rates"
clipboard-history,main-interface,"Clipboard history showing list of recently copied items"
clipboard-history,search-function,"Clipboard history search finding specific text in copied items"
clipboard-history,favorites,"Pinned clipboard items marked as favorites for permanent access"
clipboard-history,settings,"Clipboard history settings with retention period and privacy options"
clipboard-history,shortcut-menu,"Clipboard history shortcut menu for quick paste and organize"
